PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
-17,-24,-0.014,-62,31,-56,0.7,1017.1,244.8,13,79,2018/12/20 13:57
-12,2,0.012,-74,37,-61,0.5,1016.9,244.8,12,81,2018/12/20 14:57
-15,-35,0.146,-81,50,-79,0.4,1017.3,244.8,13,74,2018/12/20 15:56
-19,-39,0.361,-35,59,-89,0.4,1017.2,244.8,11,84,2018/12/20 16:57
-37,-68,0.57,-68,61,-97,0.2,1017.8,244.8,11,88,2018/12/20 17:57
-19,-59,0.886,-80,65,-97,0.3,1018.2,244.8,11,87,2018/12/20 18:58
-38,-112,1.058,-68,61,-81,0.4,1018.7,244.8,9,96,2018/12/20 19:55
-43,-103,0.846,-21,60,-81,0.1,1018.8,244.8,9,99,2018/12/20 20:57
-32,-90,0.666,-37,56,-83,0.2,1018.7,244.8,9,96,2018/12/20 21:57
-29,-102,0.649,-71,52,-77,0.3,1018.8,244.8,8,97,2018/12/20 23:00
-37,-111,0.576,-85,45,-78,0.3,1018.6,244.8,8,99,2018/12/21 0:00
-50,-118,0.515,-79,41,-76,0.2,1018.8,244.8,8,100,2018/12/21 0:55
-41,-133,0.53,-66,34,-70,0.2,1019.1,244.8,7,100,2018/12/21 1:55
-38,-103,0.523,-55,33,-67,0.2,1018.9,244.8,8,100,2018/12/21 2:55
-50,-96,0.369,-78,40,-75,0.2,1018.4,244.8,8,100,2018/12/21 4:00
-42,-91,0.268,-73,38,-75,0.4,1018.2,244.8,9,96,2018/12/21 5:00
-39,-82,0.37,-69,40,-74,0.2,1018.5,244.8,9,94,2018/12/21 5:55
-42,-102,0.622,-71,53,-73,0.3,1018.8,244.8,9,95,2018/12/21 6:58
-28,-69,0.569,-64,53,-82,0.3,1019.4,244.8,10,93,2018/12/21 8:00
-23,-50,0.554,-28,59,-86,0.7,1020.2,244.8,11,90,2018/12/21 8:56
-24,-43,0.654,-77,62,-93,0.5,1020.4,244.8,11,88,2018/12/21 9:58
-25,-37,0.462,-26,47,-75,0.7,1020.1,244.8,11,88,2018/12/21 11:00
-22,-67,0.594,-66,48,-77,0.6,1019.3,244.8,12,87,2018/12/21 11:55
-24,-79,0.576,-81,40,-68,0.6,1018.7,244.8,12,87,2018/12/21 12:58
-24,-54,0.469,-80,48,-83,1.4,1018.3,244.8,12,87,2018/12/21 13:56
-29,-64,0.47,-43,49,-84,0.5,1017.9,244.9,12,86,2018/12/21 14:56
-12,-55,0.507,-87,50,-86,0.5,1018.1,244.9,12,85,2018/12/21 15:58
-11,-39,0.62,-25,57,-95,0.4,1019,244.9,12,87,2018/12/21 17:00
-35,-96,0.736,-29,60,-92,0.4,1019.4,244.9,11,90,2018/12/21 17:58
-11,-72,0.665,-76,61,-92,0.1,1019.6,244.9,11,90,2018/12/21 18:56
-16,-87,0.484,-39,59,-85,0.3,1019.9,244.9,11,89,2018/12/21 19:56
-40,-100,0.431,-58,63,-95,0.2,1020,244.9,11,89,2018/12/21 20:58
-42,-93,0.407,-34,59,-93,0.4,1020.2,244.9,11,90,2018/12/21 22:00
-42,-112,0.357,-83,55,-83,0.2,1019.7,244.9,11,90,2018/12/21 22:58
-38,-101,0.357,-76,51,-90,0.2,1019.6,244.9,11,91,2018/12/22 0:01
-43,-111,0.346,-62,51,-88,0.8,1019.4,244.9,11,91,2018/12/22 1:00
-46,-129,0.345,-85,48,-86,0.4,1019.7,245,11,92,2018/12/22 1:55
-57,-160,0.364,-84,38,-79,0.5,1019.5,247.3,10,97,2018/12/22 2:58
-53,-154,0.33,-72,20,-60,0.4,1019.6,247.4,10,98,2018/12/22 3:56
-47,-144,0.223,-65,13,-44,1,1019,247.4,10,98,2018/12/22 4:56
-38,-124,0.131,-59,11,-39,0.3,1019.9,250,10,97,2018/12/22 5:58
-37,-103,0.347,-52,12,-41,0.5,1021,254,10,98,2018/12/22 6:55
-43,-119,0.339,-50,11,-8,1.1,1020.7,258.2,10,98,2018/12/22 7:56
-36,-106,0.411,-64,15,-50,0.6,1021.3,259.2,10,97,2018/12/22 8:58
-27,-96,0.392,-56,18,-54,2.4,1021.1,260,10,97,2018/12/22 10:00
-35,-102,0.467,-71,19,-60,0.6,1020.7,260,10,96,2018/12/22 10:56
-26,-118,0.537,-71,21,-63,0.5,1020.3,260.3,10,97,2018/12/22 12:04
-33,-116,0.534,-60,19,-59,0.2,1019.5,260.3,10,98,2018/12/22 12:57
-39,-139,0.714,-66,23,-64,0.4,1019.3,260.3,10,98,2018/12/22 13:56
-56,-183,0.698,-65,20,-63,0.6,1019.5,260.3,10,98,2018/12/22 14:58
-41,-135,0.672,-64,19,-61,1,1019.6,260.7,10,98,2018/12/22 15:55
-67,-173,0.964,-62,26,-69,0.4,1020.5,263.8,10,98,2018/12/22 16:56
-64,-206,0.877,-64,18,-61,0.5,1020.9,264.6,9,98,2018/12/22 17:58
-167,-401,0.825,-55,14,-52,1,1021.5,265.2,9,97,2018/12/22 19:00
-45,-158,0.746,-45,14,-56,1.9,1022.4,265.2,9,97,2018/12/22 20:01
-55,-176,0.809,-58,13,-53,0.5,1023.3,266.7,9,98,2018/12/22 20:58
-58,-192,0.667,-53,10,-45,0.9,1024.2,267.2,8,98,2018/12/22 21:55
-54,-200,0.7,-55,16,-62,1,1025.3,267.9,8,98,2018/12/22 23:00
-52,-205,0.743,-62,17,-57,0.4,1025.3,268,8,98,2018/12/22 23:58
-49,-208,0.655,-46,11,-47,0.3,1025.2,268,7,95,2018/12/23 0:55
-57,-223,0.776,-56,20,-64,0.4,1025.4,268,7,95,2018/12/23 2:58
-45,-232,0.822,-50,21,-64,0.6,1026,268,7,94,2018/12/23 3:56
-61,-179,2.444,-58,34,-77,0.3,1026.8,268,6,91,2018/12/23 5:57
-64,-202,1.532,-60,37,-71,0.5,1027.3,268,5,94,2018/12/23 6:56
-31,-134,2.162,-68,52,-69,0.5,1029.1,268,7,78,2018/12/23 8:56
-32,-128,1.851,-20,57,-69,1,1029,268,9,68,2018/12/23 9:56
-9,-70,1.255,-71,52,-64,1.6,1028.7,268,10,55,2018/12/23 10:55
-9,-32,0.402,-55,26,19,0.5,1027.3,268,12,38,2018/12/23 14:58
-23,-50,0.509,-28,52,-71,0.3,1028.2,268,7,50,2018/12/23 17:58
-15,-62,0.654,-81,73,-94,0.3,1028.9,268,7,55,2018/12/23 20:02
-23,-35,0.807,-73,76,-89,0.1,1029.4,268,5,67,2018/12/23 20:58
-17,-42,0.629,-22,77,-92,0.3,1028.3,268,6,61,2018/12/23 21:56
-20,-36,0.692,-31,59,-87,0.3,1027.9,268,7,60,2018/12/23 22:59
-26,-72,0.675,-75,50,-84,0.7,1027.3,268,7,67,2018/12/23 23:58
-29,-75,0.815,-85,56,-87,0.7,1028.3,268,6,75,2018/12/24 1:00
-35,-68,0.699,-84,48,-83,0.6,1028,268,5,81,2018/12/24 1:56
-29,-42,0.625,-81,33,-72,0.5,1026.8,268,4,86,2018/12/24 4:00
-30,-46,0.513,-71,30,-70,0.3,1026.2,268,4,88,2018/12/24 4:59
-30,-58,0.581,-73,42,-73,0.3,1026.7,268,4,90,2018/12/24 5:55
-28,-53,0.645,-73,43,-74,0.3,1026.5,268,3,91,2018/12/24 6:56
-12,-5,0.529,-76,32,-60,0.3,1027.4,268,8,71,2018/12/24 9:00
-9,0,0.138,-45,18,10,1.1,1021.6,268.1,12,51,2018/12/24 13:56
-17,-20,0.278,-73,29,-41,0.8,1021.4,268.1,11,57,2018/12/24 14:59
-8,16,0.138,-60,28,-15,1,1022.3,268.1,11,58,2018/12/24 15:55
-6,15,0.231,-56,24,2,0.9,1022.1,268.1,10,60,2018/12/24 16:56
-12,-5,0.094,-71,18,-41,1.1,1021.5,268.1,10,62,2018/12/24 17:58
-6,-14,0,-58,18,-29,1.1,1020.7,268.1,10,60,2018/12/24 19:00
-5,-13,0.133,-60,27,-53,0.6,1020.9,268.1,9,62,2018/12/24 19:55
-17,-18,0.315,-77,48,-81,0.3,1020.4,268.1,9,65,2018/12/24 20:58
-14,-8,0.29,-26,47,-84,0.3,1020.1,268.1,9,66,2018/12/24 22:00
-9,-13,0.162,-64,40,-74,0.3,1019.9,268.1,9,63,2018/12/24 22:56
-15,-20,0.117,-77,35,-72,0.2,1019.3,268.1,9,67,2018/12/25 0:04
-9,-27,0.086,-82,33,-72,0.7,1019.5,268.1,9,70,2018/12/25 0:56
-19,-26,0.036,-81,30,-68,0.1,1020.1,268.1,9,71,2018/12/25 1:56
-22,-36,0.053,-77,25,-68,0.5,1019.8,268.7,8,80,2018/12/25 2:58
-19,-46,0.003,-74,24,-66,0.7,1018.7,268.9,7,83,2018/12/25 4:00
-22,-56,0.207,-74,25,-65,0.2,1018,269.1,7,85,2018/12/25 4:57
-22,-65,0.251,-76,31,-72,0.3,1018.2,269.1,7,81,2018/12/25 5:57
-17,-53,0.286,-89,39,-81,0.3,1018.4,269.1,8,80,2018/12/25 6:55
-17,-42,0.301,-19,42,-82,0.5,1018.7,269.1,8,79,2018/12/25 7:56
-21,-43,0.268,-80,42,-78,0.1,1019.1,269.1,9,78,2018/12/25 8:58
-16,-47,0.263,-87,37,-74,0.5,1019.2,269.2,9,77,2018/12/25 10:00
-21,-43,0.317,-81,44,-79,0.8,1018.8,269.2,10,75,2018/12/25 10:55
-35,-72,0.289,-31,49,-85,0.3,1017.7,269.2,9,83,2018/12/25 11:58
-30,-75,0.344,-84,49,-85,0.8,1017,269.2,9,85,2018/12/25 12:56
-37,-85,0.311,-70,46,-84,1.2,1016.8,269.2,9,88,2018/12/25 14:00
-48,-105,0.252,-89,47,-82,0.2,1016.9,269.7,8,94,2018/12/25 15:00
-53,-136,0.224,-82,44,-80,0.3,1017.2,269.8,8,95,2018/12/25 15:57
-46,-108,0.296,-86,43,-82,0.3,1017.6,270.2,8,95,2018/12/25 17:00
-57,-121,0.315,-84,44,-79,0.4,1017.7,270.9,8,96,2018/12/25 17:56
-44,-131,0.195,-88,44,-83,0.4,1017.6,271.9,8,97,2018/12/25 18:58
-44,-131,0.201,-82,38,-80,0.6,1018.2,273,8,97,2018/12/25 19:56
-45,-119,0.24,-78,35,-79,0.8,1018.3,273.9,8,98,2018/12/25 20:56
-45,-149,0.241,-73,32,-76,0.6,1018.5,274.7,8,97,2018/12/25 21:58
-25,-88,0.077,-75,25,-71,0.2,1018.5,275.3,8,98,2018/12/25 22:56
-23,-92,0.003,-70,15,-62,0.1,1018.8,276.1,8,98,2018/12/25 23:56
-37,-88,0.041,-53,9,-50,0.3,1019.1,277.1,8,98,2018/12/26 0:57
-28,-80,-0.017,-49,2,-37,0.2,1019.3,278,8,98,2018/12/26 1:59
-29,-78,-0.032,-41,1,-20,0.8,1019.6,278.7,8,97,2018/12/26 3:03
-30,-67,-0.145,-43,-1,-18,0.6,1019.6,278.8,8,96,2018/12/26 3:58
-25,-45,-0.039,-39,-4,24,1.4,1019.4,278.8,8,96,2018/12/26 4:56
-24,-63,0.029,-35,-2,22,0.9,1019.4,278.8,7,95,2018/12/26 5:56
-21,-67,0.079,-45,7,18,1,1019.9,278.8,7,96,2018/12/26 6:58
-17,-56,0.122,-50,4,21,1,1020.4,278.8,7,96,2018/12/26 7:56
-23,-61,0.226,-52,11,3,0.3,1021.3,279.7,7,95,2018/12/26 8:56
-35,-74,0.272,-60,13,-39,2,1021.5,281,7,95,2018/12/26 9:58
-22,-74,0.282,-59,12,-41,0.4,1020.8,281.6,7,95,2018/12/26 10:55
-14,-35,0.164,-45,7,-30,0.6,1022.9,288.2,5,93,2018/12/26 17:56
-26,-49,0.131,-48,5,-33,0.9,1023.6,288.5,5,93,2018/12/26 18:56
-26,-55,0.135,-42,5,-1,1,1024.1,288.9,5,92,2018/12/26 19:58
-21,-57,0.1,-37,3,11,1.4,1024.6,289.1,5,90,2018/12/26 20:55
-29,-61,0.088,-41,3,15,1.6,1025.2,289.4,5,91,2018/12/26 21:56
-26,-54,0.096,-38,1,17,1.5,1025.9,289.9,4,90,2018/12/26 23:00
-22,-43,0.087,-37,1,17,1,1025.9,290.2,4,90,2018/12/26 23:56
-20,-42,0.018,-34,-2,16,1.5,1026.3,290.4,4,89,2018/12/27 0:56
-26,-57,-0.025,-32,-5,16,0.4,1027,290.6,4,90,2018/12/27 1:58
-15,-33,-0.066,-32,-5,18,2.4,1027.3,290.7,4,89,2018/12/27 2:59
-16,-30,-0.006,-32,-7,18,0.5,1027.2,290,4,89,2018/12/27 4:03
-24,-43,-0.102,-32,-2,13,1.2,1026.7,290.7,4,86,2018/12/27 5:00
-19,-48,-0.049,-34,2,8,1.1,1027,290.7,4,85,2018/12/27 6:00
-19,-53,0.001,-39,9,-14,1,1028.2,290.7,4,84,2018/12/27 6:56
-16,-30,0.038,-51,12,-39,1.4,1029.2,290.7,4,81,2018/12/27 7:58
-15,-23,0.065,-40,11,-35,0.6,1030,290.7,4,77,2018/12/27 8:56
1,0,0.129,-43,10,-34,0.4,1030.1,290.7,4,73,2018/12/27 9:56
-24,-21,0.132,-42,11,-38,0.6,1029.7,290.8,4,71,2018/12/27 10:57
-22,-26,0.068,-43,8,-34,0.9,1029.5,290.8,4,69,2018/12/27 11:56
-27,-46,0.056,-55,10,-40,1.4,1028.8,290.8,4,69,2018/12/27 12:56
-24,-34,0.056,-58,13,-42,1,1028.7,290.8,4,70,2018/12/27 14:00
-24,-48,0.046,-53,16,-44,0.8,1028.8,290.8,4,70,2018/12/27 14:56
-23,-46,0.096,-53,16,-43,0.7,1029.1,290.8,4,73,2018/12/27 15:58
-18,-54,0.124,-62,13,-45,0.3,1029.7,290.8,4,72,2018/12/27 17:00
-24,-58,0.072,-57,10,-42,0.9,1030.4,290.8,3,74,2018/12/27 17:55
-25,-64,0.06,-52,11,-40,1.4,1031.4,290.8,3,76,2018/12/27 18:56
-22,-55,0.091,-44,8,-38,1,1031.9,290.8,3,71,2018/12/27 19:58
-21,-44,0.044,-45,10,-40,0.4,1032.4,290.8,3,71,2018/12/27 20:55
-24,-57,-0.028,-43,4,-32,0.9,1033,290.8,2,74,2018/12/27 21:56
-28,-62,-0.062,-38,0,-28,0.4,1033.8,290.8,2,78,2018/12/27 22:58
-24,-58,-0.06,-34,-2,15,1,1034.5,290.8,1,72,2018/12/27 23:56
-26,-66,-0.065,-28,-1,5,0.4,1034.6,290.8,1,74,2018/12/28 0:56
-24,-57,-0.061,-32,0,8,3.3,1034.7,290.8,1,72,2018/12/28 1:58
-31,-68,-0.012,-33,0,6,1.1,1034.9,290.8,0,70,2018/12/28 2:59
-30,-78,0.058,-30,2,-37,2.7,1035.4,290.8,0,71,2018/12/28 4:00
-22,-69,0.096,-37,5,-39,0.4,1035.6,290.8,0,69,2018/12/28 4:58
-20,-85,0.186,-38,12,-51,0.7,1036.3,290.8,0,66,2018/12/28 5:56
-37,-96,0.397,-45,20,-54,0.3,1037.1,290.8,-1,74,2018/12/28 6:56
-24,-73,0.357,-58,18,-54,0.5,1038.4,290.8,-1,66,2018/12/28 8:00
-4,-36,0.228,-38,13,-34,1.8,1039,290.8,-1,57,2018/12/28 8:56
-6,-14,0.001,-44,12,-30,0.7,1039.2,290.9,0,33,2018/12/28 9:56
1,5,-0.03,-33,12,8,2.7,1038.5,290.9,0,31,2018/12/28 11:00
-9,3,-0.026,-32,8,17,2.8,1037.7,290.9,1,32,2018/12/28 11:55
-11,-7,-0.048,-37,8,13,0.8,1036.7,290.9,1,30,2018/12/28 12:56
-1,21,-0.068,-31,10,15,1.7,1036.2,290.9,1,29,2018/12/28 14:00
-10,4,-0.015,-37,8,11,0.8,1036.4,290.9,1,30,2018/12/28 14:59
-12,-3,-0.119,-43,13,-31,0.7,1036.7,290.9,1,30,2018/12/28 15:57
4,19,0.03,-39,17,-35,1.3,1036.8,290.9,-1,31,2018/12/28 16:58
2,8,-0.058,-44,20,-42,0.8,1037.3,290.9,-1,36,2018/12/28 17:59
-9,4,-0.002,-57,22,-43,0.6,1037.8,290.9,-2,40,2018/12/28 18:56
-5,-9,0.019,-51,22,-42,2.1,1038.2,290.9,-2,40,2018/12/28 19:58
-16,-18,0.124,-50,19,-41,1.8,1038.4,290.9,-2,40,2018/12/28 20:56
-6,-13,0.046,-44,24,-47,1.1,1038.4,290.9,-2,39,2018/12/28 21:56
-8,-8,0.038,-55,19,-44,1.2,1038.6,290.9,-2,40,2018/12/28 22:58
-6,-10,0.092,-36,17,-38,0.6,1038.6,290.9,-3,37,2018/12/29 0:00
-11,-15,-0.025,-42,14,-42,0.8,1038.8,290.9,-3,39,2018/12/29 0:56
-9,-21,-0.018,-42,15,-43,1,1039.3,290.9,-3,41,2018/12/29 2:02
-7,-5,0.12,-42,24,-48,0.4,1038.8,290.9,-3,40,2018/12/29 2:59
-15,-39,0.323,-46,33,-58,0.1,1038.6,290.9,-3,42,2018/12/29 3:55
-2,-14,0.626,-61,37,-63,1.2,1038.5,290.9,-3,41,2018/12/29 4:56
-2,-17,0.317,-51,32,-56,0.3,1038.9,290.9,-4,44,2018/12/29 5:58
-12,-24,0.167,-55,42,-61,0.8,1039.1,290.9,-4,42,2018/12/29 7:00
-8,-16,0.124,-59,32,-48,1.6,1038.9,290.9,-3,40,2018/12/29 7:56
0,18,0.022,-43,29,-45,1.8,1039.7,290.9,-1,28,2018/12/29 8:58
-8,12,0.091,-55,28,-40,1.3,1039.9,290.9,0,28,2018/12/29 10:00
-14,-14,0.24,-44,26,-37,1,1039.2,290.9,0,32,2018/12/29 10:56
-9,-5,0.164,-39,25,-32,1,1037.1,290.9,2,29,2018/12/29 12:59
-7,-5,0.121,-55,29,-41,2.8,1036.9,290.9,3,26,2018/12/29 14:00
-10,-17,0.165,-62,33,-47,0.7,1037.2,290.9,1,30,2018/12/29 15:00
-9,-24,0.134,-78,41,-58,0.2,1037.8,290.9,1,37,2018/12/29 16:00
-4,-1,0.012,-75,43,-55,0.1,1037.8,290.9,0,38,2018/12/29 16:56
-12,-20,-0.035,-66,37,-54,0.6,1038.3,290.9,0,38,2018/12/29 17:58
-8,-26,-0.114,-60,34,-52,1.5,1038.4,290.9,0,38,2018/12/29 19:56
-11,-16,-0.121,-60,35,-53,1.6,1038.6,290.9,0,38,2018/12/29 20:58
-5,-3,-0.161,-57,28,-50,0.8,1038.2,290.9,0,38,2018/12/29 21:56
-12,-31,-0.145,-60,26,-51,1.8,1038.4,290.9,0,39,2018/12/29 22:56
-12,-39,-0.099,-55,23,-48,1.5,1038.7,290.9,0,41,2018/12/29 23:58
-14,-39,-0.108,-44,22,-45,1.4,1038.2,290.9,0,39,2018/12/30 1:00
-19,-36,-0.126,-47,18,-44,0.5,1038.1,290.9,0,38,2018/12/30 1:56
-10,-46,-0.164,-48,14,-39,1,1038.2,290.9,0,37,2018/12/30 2:58
-20,-50,-0.14,-41,16,-43,0.7,1037.9,290.9,0,39,2018/12/30 4:00
-19,-39,-0.118,-43,18,-47,0.4,1037.4,290.9,-1,43,2018/12/30 4:55
-10,-53,-0.09,-45,27,-54,0.6,1038.1,290.9,-1,46,2018/12/30 6:00
-12,-58,-0.06,-46,34,-58,0.8,1038.7,290.9,-1,45,2018/12/30 7:00
-15,-42,0.007,-80,49,-66,0.7,1038.6,290.9,0,47,2018/12/30 8:00
-7,-20,0.112,-65,53,-61,0.6,1038.9,290.9,0,43,2018/12/30 8:58
-14,-8,0.211,-62,53,-60,0.3,1038.8,290.9,1,43,2018/12/30 9:55
-8,-1,0.189,-65,54,-57,0.8,1038.2,290.9,1,46,2018/12/30 10:56
-18,-39,0.147,-60,32,-47,1.2,1037.2,290.9,1,53,2018/12/30 11:58
-12,-32,0.173,-52,35,-50,0.5,1036.5,290.9,0,65,2018/12/30 12:56
-27,-80,0.084,-64,49,-63,0.3,1037,290.9,0,82,2018/12/30 14:00
-31,-95,0.132,-78,42,-62,0.7,1037.5,290.9,0,89,2018/12/30 14:58
-28,-101,0.062,-72,39,-61,1.1,1037.2,290.9,0,90,2018/12/30 16:00
-30,-98,0.024,-71,40,-64,2.3,1037.3,290.9,-1,90,2018/12/30 16:56
-25,-97,0.006,-73,29,-51,1.2,1038,290.9,-1,91,2018/12/30 17:57
-17,-72,-0.053,-59,24,-47,0.2,1038.2,290.9,-1,91,2018/12/30 18:56
-26,-77,-0.065,-62,22,-49,0.7,1038.4,290.9,-1,92,2018/12/30 19:56
-19,-63,-0.084,-61,20,-42,0.6,1038,290.9,-1,88,2018/12/30 20:58
-28,-74,-0.072,-53,18,-44,0.4,1038.9,290.9,-1,87,2018/12/30 22:00
-26,-76,-0.038,-52,18,-45,0.8,1038.4,290.9,-1,85,2018/12/30 23:00
-25,-88,0.038,-71,33,-61,0.3,1037.6,290.9,-2,90,2018/12/31 1:00
-27,-79,0.039,-64,31,-58,0.2,1037.5,290.9,-2,85,2018/12/31 1:56
-24,-84,0.052,-65,37,-66,0.1,1037.4,290.9,-2,87,2018/12/31 3:02
-40,-96,0.129,-68,36,-70,0.4,1036.9,290.9,-2,89,2018/12/31 4:00
-38,-118,0.163,-69,36,-68,0.8,1037,290.9,-2,88,2018/12/31 4:56
-21,-86,0.128,-67,38,-68,0.8,1037.2,290.9,-2,87,2018/12/31 5:58
-22,-91,0.097,-66,37,-65,0.3,1037.3,290.9,-2,87,2018/12/31 6:56
-27,-95,0.101,-69,40,-66,0.4,1038.2,290.9,-1,82,2018/12/31 7:56
-21,-76,0.08,-67,28,-47,0.4,1038.6,290.9,0,78,2018/12/31 8:58
-18,-83,0.033,-55,29,-44,0.5,1038.3,290.9,1,72,2018/12/31 10:00
-27,-85,-0.038,-75,23,-46,0.8,1037.9,290.9,1,73,2018/12/31 10:56
-30,-81,0.024,-57,16,-36,1.3,1037,290.9,3,71,2018/12/31 11:58
-22,-72,-0.01,-51,15,-28,0.4,1035.7,290.9,2,68,2018/12/31 13:00
-23,-66,-0.108,-55,21,-40,0.4,1035.3,290.9,6,59,2018/12/31 13:55
-36,-85,0.042,-62,32,-49,0.9,1035.3,290.9,3,67,2018/12/31 15:00
-19,-71,0.037,-67,35,-53,0.2,1035.9,290.9,3,66,2018/12/31 16:00
-25,-60,0.098,-84,36,-61,0.2,1036.3,290.9,3,69,2018/12/31 17:00
-27,-72,0.089,-64,26,-48,0.2,1036.1,290.9,2,71,2018/12/31 18:00
-20,-70,0.077,-61,28,-49,0.3,1036.2,290.9,2,71,2018/12/31 18:55
-24,-83,0.013,-63,30,-52,0.4,1036.5,290.9,2,72,2018/12/31 19:56
-19,-72,0.112,-66,37,-61,0.7,1036.7,290.9,2,69,2018/12/31 21:00
-27,-82,0.118,-82,44,-73,0.7,1036.8,290.9,2,72,2018/12/31 21:56
-25,-94,0.291,-79,40,-69,0.1,1037,290.9,2,74,2018/12/31 22:56
-28,-95,0.16,-45,-1,-37,0.5,1037,290.9,1,70,2019/1/1 0:56
-21,-80,0.15,-28,-2,-41,2.4,1037,290.9,1,64,2019/1/1 1:56
-28,-100,0.13,-26,-2,-40,0.8,1036.8,290.9,1,65,2019/1/1 2:58
-19,-83,0.13,-25,-3,-42,0.3,1036.2,290.9,1,67,2019/1/1 4:00
-14,-89,0.14,-18,-3,-41,0.1,1035.8,290.9,1,68,2019/1/1 4:56
-33,-94,0.13,-17,-4,-48,0.2,1036.4,290.9,1,66,2019/1/1 5:58
-27,-65,0.11,-24,-3,-49,1.3,1037.2,290.9,1,66,2019/1/1 7:00
-26,-75,0.11,-41,-2,-37,0.1,1037.7,290.9,1,66,2019/1/1 7:55
-22,-74,0.46,-25,1,-38,0.9,1037.8,290.9,1,62,2019/1/1 8:58
-7,-49,0.66,-20,2,-34,1.2,1037.8,290.9,4,53,2019/1/1 9:56
-4,-48,0.24,-16,-2,-45,0.4,1034.6,290.9,3,40,2019/1/1 16:56
-21,-67,0.23,-43,-4,-45,0.5,1035.3,290.9,2,48,2019/1/1 17:57
-12,-57,0.22,-21,-4,-52,0.5,1035.2,290.9,1,48,2019/1/1 18:56
-18,-68,0.13,-28,-5,-48,0.8,1035.7,290.9,1,56,2019/1/1 19:56
-22,-76,0.15,-32,-4,-56,0.2,1035,290.9,1,59,2019/1/1 20:58
-26,-82,0.16,-26,-2,-61,0.5,1035.5,290.9,1,63,2019/1/1 21:56
-19,-77,0.21,-32,-3,-63,0.3,1035.4,290.9,1,63,2019/1/1 22:56
-11,-74,0.24,-54,-3,-47,0.4,1035.9,290.9,1,66,2019/1/1 23:58
-32,-91,0.14,-41,-1,-49,0.5,1035.7,290.9,1,65,2019/1/2 0:56
-28,-90,0.26,-18,-1,-56,0.2,1035.9,290.9,1,62,2019/1/2 1:56
-24,-81,0.38,-32,1,-56,0.7,1035.3,290.9,1,65,2019/1/2 2:58
-31,-96,0.41,-22,4,-61,0.6,1035.1,290.9,1,66,2019/1/2 4:00
-32,-108,0.41,-15,9,-68,0.5,1034.8,290.9,1,67,2019/1/2 4:56
-33,-106,0.48,-22,9,-71,0.1,1034.9,290.9,1,67,2019/1/2 5:58
-33,-104,0.56,-41,5,-59,1,1034.9,290.9,1,67,2019/1/2 6:59
-32,-95,0.55,-17,5,-58,1.1,1035,290.9,1,62,2019/1/2 8:00
-30,-87,0.48,-15,4,-55,2,1035.4,290.9,2,60,2019/1/2 9:00
-25,-69,0.39,-28,3,-56,0.4,1035.4,290.9,2,54,2019/1/2 10:00
-21,-87,0.37,-13,4,-55,0.8,1034.8,290.9,3,48,2019/1/2 10:56
-23,-63,0.35,4,5,-52,0.7,1033.7,290.9,3,47,2019/1/2 11:58
-14,-37,0.32,3,5,-55,1.1,1032.6,290.9,3,43,2019/1/2 12:57
-14,-36,0.36,-14,5,-69,0.7,1032.1,290.9,4,42,2019/1/2 13:56
-29,-73,0.44,-16,7,-71,0.6,1032,290.9,4,41,2019/1/2 14:58
-15,-50,0.66,1,10,-90,0.4,1032.1,290.9,4,36,2019/1/2 15:56
-18,-68,0.86,43,10,-85,0.5,1032.6,290.9,4,41,2019/1/2 16:55
-1,-41,0.73,10,8,-79,0.5,1032.4,290.9,3,45,2019/1/2 17:55
-23,-108,0.62,18,3,-69,0.5,1032.3,290.9,3,53,2019/1/2 18:55
-36,-140,0.65,-33,4,-69,0.4,1032.7,290.9,3,59,2019/1/2 19:55
-41,-138,0.54,-19,2,-72,0.5,1032.5,290.9,3,61,2019/1/2 20:55
-39,-140,0.6,-23,1,-74,0.2,1032.6,290.9,3,63,2019/1/2 21:55
-35,-153,0.57,-29,2,-70,0.3,1032.5,290.9,3,64,2019/1/2 22:55
-41,-166,0.59,-34,1,-75,0.5,1032.1,290.9,3,65,2019/1/2 23:55
-43,-185,0.6,-27,1,-75,0.2,1032.2,290.9,3,65,2019/1/3 0:55
-34,-167,0.51,-27,2,-78,0.4,1032.2,290.9,3,66,2019/1/3 1:55
-46,-176,0.64,-25,3,-78,0.1,1031.6,290.9,3,67,2019/1/3 2:55
-46,-176,0.62,-35,2,-75,0.3,1031.3,290.9,3,67,2019/1/3 3:55
-41,-193,0.68,-26,2,-77,0.4,1031,290.9,3,67,2019/1/3 4:55
-50,-209,0.7,-22,3,-76,0.2,1031.2,290.9,3,69,2019/1/3 5:55
-47,-175,0.64,11,4,-71,0.2,1031.4,290.9,3,71,2019/1/3 6:55
-50,-148,0.52,25,4,-76,1.1,1032.2,290.9,4,72,2019/1/3 7:55
-43,-163,0.72,23,5,-67,0.6,1033,290.9,4,70,2019/1/3 8:55
-40,-111,0.66,23,2,-63,1,1032.9,290.9,5,67,2019/1/3 9:55
-41,-172,0.58,-33,0,-52,0.5,1032.1,290.9,5,67,2019/1/3 10:55
-45,-131,0.61,-8,0,-63,0.8,1030.9,290.9,6,67,2019/1/3 11:55
-37,-132,0.55,-15,0,-65,1.3,1029.7,290.9,6,67,2019/1/3 12:55
